数据年月,贸易伙伴名称,美元
201701,巴西,29124787.0
201701,巴西,38077422.0
201701,巴西,14842385.0
201701,巴西,29379609.0
201702,巴西,55982543.0
201702,巴西,26127717.0
201702,巴西,30967983.0
201702,巴西,35540606.0
201702,巴西,40429659.0
201702,巴西,56407002.0
201702,巴西,11719075.0
201702,巴西,28761356.0
201702,巴西,445540.0
201702,巴西,8491970.0
201703,巴西,45030830.0
201703,巴西,26895205.0
201703,巴西,119144105.0
201703,巴西,191096401.0
201703,巴西,23160163.0
201703,巴西,53092983.0
201703,巴西,92356609.0
201703,巴西,66783335.0
201703,巴西,51625973.0
201703,巴西,27964120.0
201703,巴西,28389526.0
201703,巴西,27111294.0
201704,巴西,216214781.0
201704,巴西,58111680.0
201704,巴西,27355335.0
201704,巴西,23539848.0
201704,巴西,439579795.0
201704,巴西,476492872.0
201704,巴西,108034098.0
201704,巴西,16463174.0
201704,巴西,163009786.0
201704,巴西,487204270.0
201704,巴西,48345515.0
201704,巴西,137232012.0
201704,巴西,220037532.0
201704,巴西,27396169.0
201704,巴西,41100047.0
201704,巴西,19255415.0
201704,巴西,5886914.0
201704,巴西,3362260.0
201704,巴西,4513627.0
201704,巴西,16821428.0
201704,巴西,58051030.0
201704,巴西,416.0
201705,巴西,595498252.0
201705,巴西,57535223.0
201705,巴西,82497668.0
201705,巴西,24041637.0
201705,巴西,39880424.0
201705,巴西,27625127.0
201705,巴西,410048642.0
201705,巴西,549212388.0
201705,巴西,101842943.0
201705,巴西,8413020.0
201705,巴西,188904390.0
201705,巴西,447945696.0
201705,巴西,32218664.0
201705,巴西,12315632.0
201705,巴西,104320975.0
201705,巴西,441601124.0
201705,巴西,23416438.0
201705,巴西,3638450.0
201705,巴西,12973213.0
201705,巴西,15399041.0
201705,巴西,10377133.0
201705,巴西,1185600.0
201705,巴西,45709713.0
201705,巴西,22078510.0
201705,巴西,27317639.0
201705,巴西,223973.0
201706,巴西,322955682.0
201706,巴西,51300080.0
201706,巴西,155370016.0
201706,巴西,61166941.0
201706,巴西,432091045.0
201706,巴西,299153440.0
201706,巴西,50151158.0
201706,巴西,5660786.0
201706,巴西,137614561.0
201706,巴西,378699366.0
201706,巴西,50137314.0
201706,巴西,16102700.0
201706,巴西,114436211.0
201706,巴西,325700577.0
201706,巴西,49933698.0
201706,巴西,23320280.0
201706,巴西,12150360.0
201706,巴西,16724008.0
201706,巴西,19507962.0
201706,巴西,8438922.0
201706,巴西,1565359.0
201706,巴西,43648557.0
201706,巴西,7943150.0
201707,巴西,294544956.0
201707,巴西,196692326.0
201707,巴西,54143875.0
201707,巴西,382091264.0
201707,巴西,483877828.0
201707,巴西,117997462.0
201707,巴西,20490743.0
201707,巴西,247256792.0
201707,巴西,379675111.0
201707,巴西,103147244.0
201707,巴西,15697292.0
201707,巴西,216898057.0
201707,巴西,222364296.0
201707,巴西,52194709.0
201707,巴西,20590951.0
201707,巴西,49600668.0
201707,巴西,30846933.0
201707,巴西,20436798.0
201707,巴西,7154399.0
201707,巴西,20213363.0
201707,巴西,3664770.0
201707,巴西,5126313.0
201707,巴西,8264518.0
201707,巴西,36126738.0
201707,巴西,7613422.0
201707,巴西,53847950.0
201708,巴西,262025653.0
201708,巴西,195774699.0
201708,巴西,454193909.0
201708,巴西,256141549.0
201708,巴西,73367051.0
201708,巴西,8733890.0
201708,巴西,154814577.0
201708,巴西,363176281.0
201708,巴西,74844351.0
201708,巴西,6607002.0
201708,巴西,130765045.0
201708,巴西,304443270.0
201708,巴西,26855401.0
201708,巴西,10653403.0
201708,巴西,16414709.0
201708,巴西,8497551.0
201708,巴西,5927691.0
201708,巴西,4232300.0
201708,巴西,14700708.0
201708,巴西,36957134.0
201708,巴西,23975786.0
201708,巴西,26820048.0
201709,巴西,213740278.0
201709,巴西,104740681.0
201709,巴西,41092340.0
201709,巴西,342886982.0
201709,巴西,475803353.0
201709,巴西,92853504.0
201709,巴西,3964800.0
201709,巴西,151245247.0
201709,巴西,306178043.0
201709,巴西,9668889.0
201709,巴西,3975800.0
201709,巴西,157106505.0
201709,巴西,274766904.0
201709,巴西,27383740.0
201709,巴西,13367256.0
201709,巴西,26921989.0
201709,巴西,20355174.0
201709,巴西,20075449.0
201709,巴西,2417460.0
201709,巴西,14269077.0
201709,巴西,44755497.0
201709,巴西,11964643.0
201709,巴西,48325695.0
201710,巴西,100044576.0
201710,巴西,25624500.0
201710,巴西,169291062.0
201710,巴西,36876277.0
201710,巴西,81475794.0
201710,巴西,205254826.0
201710,巴西,215461569.0
201710,巴西,3807113.0
201710,巴西,6233850.0
201710,巴西,73286356.0
201710,巴西,112880222.0
201710,巴西,28834618.0
201710,巴西,10763220.0
201710,巴西,8117000.0
201710,巴西,71555889.0
201710,巴西,137496359.0
201710,巴西,27398009.0
201710,巴西,6111150.0
201710,巴西,2101700.0
201710,巴西,1975660.0
201710,巴西,41594699.0
201710,巴西,25719909.0
201710,巴西,81787.0
201711,巴西,25394637.0
201711,巴西,130936538.0
201711,巴西,95420807.0
201711,巴西,14822094.0
201711,巴西,46509139.0
201711,巴西,62386588.0
201711,巴西,244139714.0
201711,巴西,83202309.0
201711,巴西,84651961.0
201711,巴西,56668206.0
201711,巴西,14233322.0
201711,巴西,55903384.0
201711,巴西,147301728.0
201711,巴西,50032025.0
201711,巴西,8740806.0
201711,巴西,10120745.0
201711,巴西,26933403.0
201712,巴西,52288355.0
201712,巴西,81569758.0
201712,巴西,6519542.0
201712,巴西,90674335.0
201712,巴西,107855245.0
201712,巴西,29560764.0
201712,巴西,86831065.0
201712,巴西,45738260.0
201712,巴西,39207161.0
201712,巴西,16093950.0
